#YYY/MM/DD,HH:mm:SS.ss,ET,GT,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM
1/1/2013,48:33.3,eq,r,2.04,l,36.0945,-119.91833,5.4,C,15269465,12,130
1/1/2013,54:23.2,eq,r,1.88,l,36.15233,-119.82467,5.5,C,15269513,10,87
1/1/2013,37:10.0,eq,r,2.87,l,36.34883,-120.354,5.6,C,15269553,17,214
1/2/2013,21:04.8,eq,r,2.59,l,36.789,-121.23067,5.6,C,15269593,8,86
1/2/2013,43:20.8,eq,r,2.6,h,36.589,-121.186,4.4,C,15269777,14,172
1/3/2013,30:35.7,eq,r,2.6,h,36.589,-121.186,4.2,C,15269793,12,156
1/3/2013,44:17.3,eq,r,3.37,l,31.228,-116.12583,2.5,D,15269801,19,1993
1/3/2013,59:24.0,eq,r,2.4,h,36.564,-121.074,6.4,D,15270113,10,93
1/5/2013,57:23.7,eq,r,2.71,l,31.2785,-116.16067,4,C,15270561,22,1477
1/7/2013,34:32.4,eq,r,2.6,h,37.52983,-118.91367,10.4,C,15270849,19,178
1/7/2013,55:14.1,eq,r,2.8,h,36.645,-121.101,11.8,C,15270993,21,174
1/8/2013,49:54.3,eq,r,3.27,l,31.34483,-116.21783,8.4,C,15271057,15,1999
1/8/2013,43:19.5,eq,r,3.2,h,37.423,-118.33,5.5,C,15271233,31,232
1/9/2013,32:33.9,eq,r,2.2,h,37.422,-118.564,13.4,C,15271553,13,36
1/10/2013,47:20.2,eq,r,2.54,l,31.22517,-115.91617,3.2,C,15271737,18,3375
1/10/2013,25:26.1,eq,r,2,h,37.57,-119.002,1.5,D,15271857,5,24
1/11/2013,09:48.6,eq,r,2.5,h,37.575,-118.47033,15.7,C,15272121,14,39
1/13/2013,31:00.3,eq,r,2.4,h,36.56933,-121.22817,6.5,C,15272905,10,397
1/15/2013,14:31.5,eq,r,3.5,h,36.55267,-121.1045,3.7,C,15273521,18,2110
1/15/2013,18:14.2,eq,r,3.27,l,36.55667,-121.07383,5.4,D,15273529,12,1648
1/15/2013,27:08.3,eq,r,2.4,h,36.52783,-121.13367,4.7,C,15273609,16,155
1/16/2013,20:25.8,eq,r,2.5,h,38.75,-119.594,10.5,D,15273929,8,61
1/17/2013,01:17.6,eq,r,2.71,l,31.456,-119.6415,5.8,C,15274321,16,1488
1/17/2013,20:36.9,eq,r,1.6,h,37.479,-118.85817,12.4,C,15274425,8,46
1/17/2013,18:17.0,eq,r,1.8,h,36.29417,-120.33517,6.3,C,15274481,10,143
1/18/2013,19:14.7,eq,r,2.6,h,36.654,-121.279,6.9,D,15274865,17,185
